RunnerPosition,Name,Club,FinishTime,RunnerCategory
1,Dermot McGonigle,Shettleston Harriers,2:43:29,M
2,Mark Rigby,Westerlands,2:49:24,M
3,Adam Ward,Carnethy HRC,2:49:53,M
4,M Fleming,Ambleside Athletic Club,2:53:04,M
5,Adrian Davis,Carnethy HRC,2:53:51,M
6,Des Crowe,Shettleston Harriers,2:54:06,M
7,John Hepburn,Dundee Hawkhill Harriers,2:54:51,M
8,Dave Cummins,Shettleston Harriers,2:55:06,M
9,A Lewsley,Keswick Athletic Club,2:58:00,M
10,Damon Rodwell,Westerlands,3:00:34,M
11,Allan Wilson,Dundee Hawkhill Harriers,3:01:31,M
12,Niall Martin,Lomond Hill Runners,3:03:30,M
13,Brian Waldie,Carnethy HRC,3:03:42,M
14,D Hirst,Deeside Runners,3:05:39,M
15,Mark Johnston,Carnethy HRC,3:05:58,M
16,G MacInnes,Carnethy HRC,3:07:43,M
17,John Gallagher,Ochil Hill Runners,3:11:06,M
18,S Birkenshaw,Wcoc,3:12:39,M
19,David Duncan,Ochil Hill Runners,3:13:04,M
20,R McInroy,Clydesdale Harriers,3:13:10,M
21,A Cassidy,Fife Athletic Club,3:13:37,M
22,Phil Mowbray,Hunters Bog Trotters,3:15:06,M
23,W Sullivan,,3:16:03,M
24,Steve Bell,Westerlands,3:16:26,M
25,Brad Connor,Carnethy HRC,3:17:34,M
26,Geoff Simpson,Hunters Bog Trotters,3:18:10,M
27,Adam Anderson,Solway Running Club,3:18:22,M
28,John Blair-fish,Carnethy HRC,3:18:56,M
29,Ronnie Gallagher,Westerlands,3:19:29,M
30,Keith Adams,Westerlands,3:20:16,M
31,D Simmons,Livingston and District Athletic Club,3:21:19,M
32,John Donnelly,Shettleston Harriers,3:22:06,M
33,Jamie Thin,Carmethy Hr,3:22:53,M
34,J Durnin,Dundee Wawkhill Harr,3:23:16,M
35,N Davies,Borrowdale Fell Runners,3:23:46,F
36,Charlie Love,Dundee Hawkhill Harriers,3:23:59,M
37,A Patience,Carnethy HRC,3:24:41,M
38,J Bowers,Ochil Hill Runners,3:24:54,M
39,Willie Gibson,Carnethy HRC,3:25:22,M
40,N Leslie,,3:27:06,M
41,S McKenna,Ambleside Athletic Club,3:27:57,M
42,Tom Ross,Fife Athletic Club,3:30:19,M
43,D Shiell,Carnethy HRC,3:30:27,M
44,A Walker,Navy - Royal Naval Athletic Club,3:31:23,M
45,Brian Landels,Fife Athletic Club,3:32:31,M
46,G Holden,Fife Athletic Club,3:33:38,M
47,P Forte,Dundee Hawkhill Harriers,3:34:55,M
48,W Hunter,Lothian & Borders Pd,3:34:58,M
49,Douglas Milligan,Solway Running Club,3:35:03,M
50,Brian Howie,City Of Edinburgh,3:35:42,M
51,Damian Theaker,Helensburgh Athletic Club,3:35:57,M
52,R Bell,Ambleside Athletic Club,3:36:13,M
53,J Paxton,Gala Harriers,3:36:41,M
54,Murdo MacLeod,Westerlands,3:37:05,M
55,J Salvona,Livingston and District Athletic Club,3:37:30,F
56,Archie Cameron,Westerlands,3:37:48,M
57,Brian Bonnyman,Westerlands,3:37:59,M
58,Matt Ogston,Westerlands,3:39:26,M
59,E Gowrie,Carnethy HRC,3:40:21,M
60,Bill Gauld,Carnethy HRC,3:40:30,M
60,Willie Mykura,Carnethy HRC,3:43:48,M
61,I Wallace,Hunters Bog Trotters,3:40:56,M
62,C Ritchie,Westerlands,3:41:01,M
63,E Moody,Wcoc,3:41:03,F
64,Debbie MacDonald,Hunters Bog Trotters,3:41:20,F
65,S Bostock,Weeton Harriers,3:41:25,M
66,J Brown,Belfast Arf,3:42:55,M
67,I Hughes,Ochil Hill Runners,3:43:23,M
69,S Tedcastle,Perth Road Runners,3:44:00,M
70,C Cramer,Perth Road Runners,3:45:41,F
71,J Littlewood,Carnethy HRC,3:46:29,M
72,C Beadle,Holmfirth Harriers,3:47:28,M
73,A Stempczyk,Falkirv Victoria Har,3:47:33,M
74,P Baxter,Westerlands,3:47:49,M
75,J McWhinnie,Carnethy HRC,3:47:52,M
76,R Thomas,Hunters Bog Trotters,3:47:59,M
77,B Jackson,Clayton Le-moors Harriers,3:48:23,M
78,R Griffiths,Holmfirth Harriers,3:49:03,M
79,R Tavendale,Dundee Hawkhill Harriers,3:51:08,M
80,D Gribbin,,3:52:15,M
81,K Tory,,3:53:00,M
82,J McGregor,Dundee Hawkhill Harriers,3:53:31,M
83,Nigel Rose,Carnethy HRC,3:53:41,M
84,A Phillip,Perth Drienteers,3:53:52,M
85,E Lardner,,3:54:22,M
86,D Nicholson,Preston Harriers,3:54:38,M
87,L Anderson,Fife Athletic Club,3:54:59,M
88,Kate Jenkins,Carnethy HRC,3:55:05,F
89,Helene Diamantides,Westerlands,3:57:37,F
90,? Robertson,Westerlands,3:57:38,F
91,E Scott,Westerlands,3:57:39,F
92,A Campbell,Westerlands,3:57:46,M
93,David Adams,Hamilton Harrers,3:59:34,M40
94,J Howard,Preston Harriers,4:00:06,M
95,D Thomson,Hardley Runners,4:00:23,F
96,H Spenceley,Carnethy HRC,4:03:43,F
97,J Page,Holmfirth Harriers,4:04:42,M
98,Trevor Collins,Carnethy HRC,4:05:07,M
99,Fâ€™ MacDonald,Help,4:07:44,M
100,C Hall,Road Runwers Club,4:08:42,M
101,M Paxton,Perth Strathtay Harriers,4:13:32,M
102,M Stewart,Carnethy HRC,4:13:54,F
103,J Wilson,,4:14:10,M
104,P Brownsort,,4:15:08,M
105,R Howarth,Holmfirth Harriers,4:17:37,M
107,W Howarth,Denby Dale Traveller,4:17:45,M
108,S Connor,,4:17:46,M
109,M MacLachlan,Carnethy HRC,4:18:02,M
110,Drew Turnbull,East Kilbride Athletic Club,4:18:11,M50
111,E Blackburn,,4:22:18,F
112,P Webb,,4:26:45,M
113,I Coombes,Westerlands,4:28:46,F
114,L Wanless,Westerlands,4:28:47,F
115,I Gunn,City Of Edinburgh,4:28:48,M
116,J Mitchell,Sale Harriers,4:29:25,M
117,R Barrett,,4:30:36,M
118,I Orr,,4:33:50,M
119,R Barnes,,4:33:51,M
120,Frank Cation,Fife Athletic Club,4:36:19,M
121,I Struthers,Westerlands,4:37:27,M
122,J Stevenson,Tinto Orienteers,4:38:53,M
123,Don Adam,Fife Athletic Club,4:44:04,M
124,F McLaren,Fife Athletic Club,4:44:05,M
125,Richard Adams,Norham Running Club,4:44:34,M40
126,R Wall,Hunters Bog Trotters,4:45:42,M
127,C Lane,,4:53:30,M
128,J Wilkins,Arbroath Footers,4:58:24,M
129,J Bell,Westerlands,4:58:35,M
130,1 Schierloh,Carnethy HRC,5:00:17,F
131,N Schierlon,Carnethy HRC,5:00:18,M
132,S Sinnoti,,5:11:52,M
133,I Armstrong,,5:43:30,M
