RunnerPosition,Surname,Firstname,Club,RunnerCategory,FinishTime
1,Donnelly,Colin,Aberdeen AAC,,
2,Bland,William,Keswick AC,,
3,A Short,Michael,Horwich,,
4,Sunter,Albert,Horwich,,
5,Morris,Robin,Edinburgh Athletic College,,
6,Boswell,Roger,Lochaber AC,,
7,Shields,Robert,Lochaber AC,,
8,Walkington,Peter,Horwich,,
9,Carlin,George,Clydesdale Harriers,,
10,Stewart,Edward,Cambuslang Harriers,,
11,Adams,Allan,Dumbarton Athletic Club,,
12,Rowley,James,Law District Athletic Club,,
13,Neal,Andy,East Kilbride Athletic Club,,
14,Blair-fish,John,Edinburgh Southern Harriers,,
15,A Harper,George,Aberdeen AAC,,
16,S Bland,J,Keswick AC,,
17,Ewing,Bill,Pitreavie Athletic Club,,
18,Bland,Pete,Kendal Athletic Club,,
19,Stapely,Anthony,Fife AC,,
20,G Henderson,William,Rockhounds,,
21,Irving,George,East Kilbride Athletic Club,,
22,Lee,Donald,Cumberland Fell Runners,,
23,Fairweather,David,Law District Athletic Club,,
24,C Ramsay,Charles,Lochaber AC,,
25,Coleman,Peter,Linlithgow Harriers,,
26,W Cook,Alastair,Aberdeen AAC,,
27,O'hara,Roddy,Annan Athletic Club,,
28,G Pyatt,D,E S H Orienteering Club,,
29,Darling,S,Clydesdale Harriers,,
30,Carroll,B,Annan Athletic Club,,
31,Jardine,James,U/A,,
32,Rea,John,Cumberland Fell Runners,,
33,Fleming,G,Victoria Park Athletic Club,,
34,McWatt,Ian,Dumbarton Athletic Club,,
35,Dempster,Stuart,Edinburgh Southern Harriers,,
36,Paton,Ron,Dumbarton Athletic Club,,
37,Clark,S,Edinburgh Southern Harriers,,
38,Hendrie,I,Fife AC,,
39,Balfour,S,Edinburgh Southern Harriers,,
40,P Davies,Michael,Reading Athletic Club,,
41,Hutchinson,John,Edinburgh Athletic College,,
42,Carstairs,G,Fife AC,,
43,Carmichael,Peter,Morpeth Harriers,,
44,Robertson,Alex,Pitreavie Athletic Club,,
45,McConnachie,Graeme,Lochaber AC,,
46,Luke,Gary,Horwich,,
47,J Kille,Timothy,Fife Southern Harriers,,
48,Pearson,Andy,East Kilbride Athletic Club,,
49,Shields,James,Clydesdale Harriers,,
50,Montgomery,George,Harmeny AC,,
51,Marshall,Ian,Edinburgh Southern Harriers,,
52,Harvey,Eddie,Esoc,,
53,Ferguson,M,Squadron,,
54,McKenzie,Duncan,U/A,,
55,Winter,George,U/A,,
56,G Love,Richard,Edinburgh Athletic College,,
57,Dougan,John,Lochaber AC,,
58,McKirdy,David,East Kilbride Athletic Club,,
59,W A McMinn,T,Squadron,,
60,Anderson,Russell,Bellahouston RR,,
61,French,A,Hartlepool Power Station,,
62,Watson,B,Cumberland Fell Runners,,
63,Ezzi,Gerard,U/A,,
64,Jewell,T,Cumberland Fell Runners,,
65,Mendum,J,Rochhounds,,
66,McManus,Francis,Penicuick Harriers,,
67,Biltcliffe,Alan,U/A,,
68,J Oates,Richard,Kendal Athletic Club,,
69,Patrick M St,John,U/A,,
70,Robinson,B,Cumberland Fell Runners,,
71,Hamilton,D,Esoc,,
72,Burns,Keith,Hartlepool Power Station,,
73,Cummings,Norman,Linlithgow Harriers,,
74,P Austin,R,Annan Athletic Club,,
75,Bankhead,Matt,Edinburgh Athletic College,,
76,Benyon,M,Law District Athletic Club,,
77,Moore,Tim,East Kilbride Athletic Club,,
78,Lidwell,M,Dumbarton Athletic Club,,
79,Forgan,John,Linlithgow Harriers,,
80,Littlewood,Derrick,Morpeth Harriers,,
81,Shaw,Robert,Linlithgow Harriers,,
82,Laidlaw,Bruce,Lochaber AC,,
83,J Russell,William,U/A,,
84,Mather,James,Lochaber AC,,
85,Bolton,Duncan,Lochaber AC,,
86,Armstrong,G,Lothian Borders Police Athletic Club,,
87,B Blevins,A,Scottish Infantry Depot,,
88,Campbell,Eddie,Lochaber AC,,
89,Struthers,Ian,Westerlands CCC,,
90,Finlayson,Alasdair,Victoria Park Athletic Club,,
91,Taylor,L,Cambridge Harriers,,
92,Gordon Baker,G,Edinburgh Athletic College,,
93,Lightbody,J,U/A,,
94,Fortune,W,Morpeth Harriers,,
95,Mcg Kohler,Hamish,Morpeth Harriers,,
96,Knox,M,U/A,,
97,Jackson,Alex,Ferranti Athletic Club,,
98,McKirdy,Gavin,East Kilbride Athletic Club,,
99,McKinlay,M,Squadron,,
100,Robertson,Lyall,Penicuick Harriers,,
101,Robertson,R,Esoc,,
102,Rutherford,Donald,Preston Harriers,,
103,Coutts,Peter,Lothian Borders Police Athletic Club,,
104,Barr,Robert,Annan Athletic Club,,
105,Barton,J,U/A,,
106,L Middler,Lessel,U/A,,
107,Stein,David,U/A,,
108,Prater,David,Annan Athletic Club,,
109,B Nicholson,D,Aberdeen AAC,,
110,McDougall,Charles,East Kilbride Athletic Club,,
111,J Harpur,R,Cumberland Fell Runners,,
112,T Chrystal,B,U/A,,
113,Davidson,Eric,U/A,,
